,Model,Bio_term,Title,Link,Citations,Year,Explicit use of the model,Model applied to biological research,Outcome and implications based on model,Keep,Notes
1,linear regression,paleontology,Paleontological data analysis,https://books.google.com/books?hl=en&lr=&id=H872EAAAQBAJ&oi=fnd&pg=PR9&dq=%22linear+regression%22+%22paleontology%22&ots=cz366e9EeR&sig=oSnBFq2zhTPSQFXaO8g7AiR1_Co,1818,2024,,,,no,book
2,linear regression,environmental biology,Statistics for environmental biology and toxicology,https://www.taylorfrancis.com/books/mono/10.1201/9780203738504/statistics-environmental-biology-toxicology-john-bailer,287,2020,,,,no,book
3,linear regression,medical imaging,Deep learning in medical imaging,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945006/,281,2019,no,,,no,review
4,linear regression,genomics,Prediction of gene expression patterns with generalized linear regression model,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2019.00120/full,154,2019,yes,yes,yes ,,enhancing grasp of gene regulation mechanisms in stem cell and developmental biology
5,linear regression,phylogenomics,Global phylogenomics of multidrug-resistant Salmonella enterica serotype Kentucky ST198,https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.000269,115,2019,yes,yes,no,no,The linear regression analysis showed an increase in IS26 copy number over time in a bacterial lineage.
6,linear regression,disease classification,Deep neural network features fusion and selection based on PLS regression with an application for crops diseases classification,https://www.sciencedirect.com/science/article/pii/S1568494621000879,90,2021,no,,,no,
7,linear regression,systems biology,"Network inference in systems biology: recent developments, challenges, and applications",https://www.sciencedirect.com/science/article/pii/S0958166919301399,69,2020,no,,,no,
8,linear regression,disease classification,Back-propagation neural network versus logistic regression in heart disease classification,https://link.springer.com/chapter/10.1007/978-981-13-0680-8_13,65,2019,no,,,no,
9,linear regression,immunology,Association between SII and hepatic steatosis and liver fibrosis: a population-based study,https://www.frontiersin.org/articles/10.3389/fimmu.2022.925690/full,63,2022,yes,yes,"study revealed that there is a significant positive association between SII and CAP, indicating that higher SII levels correlate with greater hepatic steatosis.",,
10,linear regression,genomics,"Integrating metabolomics, genomics, and disease pathways in age-related macular degeneration: the EYE-RISK consortium",https://www.sciencedirect.com/science/article/pii/S0161642020305613,61,2020,yes,yes,linear regression analysis revealed significant associations between genetic variants and metabolite levels,,
