,Model,Bio_term,Title,Link,Citations,Year
985,{'linear regression'},{'biology'},Statistical methods: applied to experiments in agriculture and biology,http://117.239.25.194:7000/jspui/bitstream/123456789/907/1/PRILIMINERY%20AND%20CONTENTS.pdf,102964.0,1956.0
780,{'linear regression'},{'paleontology'},Past: paleontological statistics software package for educaton and data anlysis,https://doc.rero.ch/record/15326/files/PAL_E2660.pdf,30675.0,2001.0
145,{'linear regression'},{'developmental biology'},Assumption-free analysis of quantitative real-time polymerase chain reaction (PCR) data,https://www.sciencedirect.com/science/article/pii/S0304394002014234,4184.0,2003.0
204,{'linear regression'},{'ecology'},Classification and regression trees: a powerful yet simple technique for ecological data analysis,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9658(2000)081[3178:CARTAP]2.0.CO;2,3995.0,2000.0
129,{'linear regression'},{'genetics'},Approximate Bayesian computation in population genetics,https://academic.oup.com/genetics/article-abstract/162/4/2025/6050069,3363.0,2002.0
778,{'linear regression'},{'biodiversity'},Partitioning selection and complementarity in biodiversity experiments,https://www.nature.com/articles/35083573,3208.0,2001.0
956,{'linear regression'},"{'medical imaging', 'ecology'}",Spatial dependence in linear regression models with an introduction to spatial econometrics,https://www.taylorfrancis.com/chapters/edit/10.1201/9781482269901-36/spatial-dependence-linear-regression-models-introduction-spatial-econometrics,2866.0,1998.0
249,{'linear regression'},{'ecology'},Confronting multicollinearity in ecological multiple regression,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/02-3114,2695.0,2003.0
34,{'linear regression'},{'systems biology'},A methodology for performing global uncertainty and sensitivity analysis in systems biology,https://www.sciencedirect.com/science/article/pii/S0022519308001896,2590.0,2008.0
1036,{'linear regression'},{'ecology'},The arcsine is asinine: the analysis of proportions in ecology,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/10-0340.1,2410.0,2011.0
992,{'linear regression'},{'biology'},Statistics in biology. Statistical methods for research in the natural sciences.,https://www.cabidigitallibrary.org/doi/full/10.5555/19671607230,2015.0,1967.0
983,{'linear regression'},{'biology'},Statistical methods in agriculture and experimental biology,https://www.taylorfrancis.com/books/mono/10.1201/9780203738559/statistical-methods-agriculture-experimental-biology-roger-mead,2002.0,2017.0
1148,"{'OLS', 'ordinary least squares'}","{'environmental biology', 'ecology', 'biodiversity'}",What is the observed relationship between species richness and productivity?,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9658(2001)082[2381:WITORB]2.0.CO;2,1950.0,2001.0
1047,{'linear regression'},{'biogeography'},The distance decay of similarity in biogeography and ecology,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2699.1999.00305.x,1937.0,1999.0
762,{'linear regression'},{'paleontology'},Paleontological data analysis,https://books.google.com/books?hl=en&lr=&id=H872EAAAQBAJ&oi=fnd&pg=PR9&dq=%22linear+regression%22+%22paleontology%22&ots=cz366e9EeR&sig=oSnBFq2zhTPSQFXaO8g7AiR1_Co,1818.0,2024.0
602,{'linear regression'},{'medical imaging'},Machine learning for medical imaging,https://pubs.rsna.org/doi/abs/10.1148/rg.2017160130,1548.0,2017.0
695,{'linear regression'},{'metabolomics'},Multivariate analysis in metabolomics,https://www.ingentaconnect.com/content/ben/cmb/2013/00000001/00000001/art00008,1508.0,2013.0
387,{'linear regression'},{'marine biology'},Estimating the grazing impact of marine micro-zooplankton,https://link.springer.com/article/10.1007/bf00397668,1478.0,1982.0
