,Model,Bio_term,Title,Link,Citations,Year
626,"{'OLS', 'ordinary least squares'}","{'environmental biology', 'ecology', 'biodiversity'}",What is the observed relationship between species richness and productivity?,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9658(2001)082[2381:WITORB]2.0.CO;2,1950,2001
391,{'OLS'},{'neurobiology'},Neurobiology of periventricular leukomalacia in the premature infant,https://www.nature.com/articles/pr2001219,1324,2001
524,"{'OLS', 'ordinary least squares'}","{'biology', 'biogeography', 'ecology'}",Spatial autocorrelation and red herrings in geographical ecology,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1466-822X.2003.00322.x,1198,2003
489,{'OLS'},{'biology'},"Regression and model-building in conservation biology, biogeography and ecology: the distinction between–and reconciliation of–'predictive'and 'explanatory'models",https://link.springer.com/article/10.1023/A:1008985925162,1163,2000
336,"{'OLS', 'ordinary least squares'}","{'biology', 'ecology'}",Mass/length residuals: measures of body condition or generators of spurious results?,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9658(2001)082[1473:MLRMOB]2.0.CO;2,1115,2001
523,"{'OLS', 'ordinary least squares'}",{'ecology'},Spatial autocorrelation and autoregressive models in ecology,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9615(2002)072[0445:SAAAMI]2.0.CO;2,1098,2002
406,{'OLS'},{'developmental biology'},Oligodendrocyte dynamics in the healthy adult CNS: evidence for myelin remodeling,https://www.cell.com/neuron/fulltext/S0896-6273(13)00050-0,900,2013
605,"{'OLS', 'ordinary least squares'}","{'biogeography', 'ecology'}",Towards an integrated computational tool for spatial analysis in macroecology and biogeography,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1466-822X.2006.00237.x,765,2006
129,{'ordinary least squares'},{'evolution'},"Continuum regression: cross‐validated sequentially constructed prediction embracing ordinary least squares, partial least squares and principal components …",https://rss.onlinelibrary.wiley.com/doi/abs/10.1111/j.2517-6161.1990.tb01786.x,754,1990
559,{'OLS'},{'systems biology'},The Inferelator: an algorithm for learning parsimonious regulatory networks from systems-biology data sets de novo,https://link.springer.com/article/10.1186/gb-2006-7-5-r36,676,2006
621,"{'OLS', 'ordinary least squares'}",{'developmental biology'},Variation in neural development as a result of exposure to institutionalization early in childhood,https://www.pnas.org/doi/abs/10.1073/pnas.1200041109,551,2012
485,{'ordinary least squares'},{'evolution'},"Regional hydrologic analysis: 1. Ordinary, weighted, and generalized least squares compared",https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/WR021i009p01421,490,1985
22,"{'OLS', 'ordinary least squares'}","{'phylogenetics', 'evolution', 'biology'}",A primer on phylogenetic generalised least squares,https://link.springer.com/chapter/10.1007/978-3-662-43550-2_5,463,2014
273,{'OLS'},{'disease classification'},"Human Disease Ontology 2018 update: classification, content and workflow expansion",https://academic.oup.com/nar/article-abstract/47/D1/D955/5165342,462,2019
333,{'OLS'},{'marine biology'},Marine connectivity: a new look at pelagic larval duration and genetic metrics of dispersal,https://www.int-res.com/abstracts/meps/v436/p291-305/,444,2011
77,"{'OLS', 'ordinary least squares'}",{'biodiversity'},Biodiversity and ecosystem services: A multi-scale empirical study of the relationship between species richness and net primary production,https://www.sciencedirect.com/science/article/pii/S0921800906001728,443,2007
135,{'ordinary least squares'},{'neurobiology'},Critical ages in the life course of the adult brain: nonlinear subcortical aging,https://www.sciencedirect.com/science/article/pii/S0197458013001590,414,2013
24,{'ordinary least squares'},{'environmental biology'},A review of statistical methods for the evaluation of aquatic habitat suitability for instream flow assessment,https://onlinelibrary.wiley.com/doi/abs/10.1002/rra.918,408,2006
