,Model,Bio_term,Title,Link,Citations,Year,Explicit use of the model,Model applied to biological research,Outcome and implications based on model,Keep,Notes
1,random forest,biogeography,Climatic controls of decomposition drive the global biogeography of forest-tree symbioses,https://www.nature.com/articles/s41586-019-1128-0,491,2019,Yes,Yes,Yes,Yes,They chose the best variables using node purity and MSE
2,random forest,evolution,Surrogate-assisted evolutionary deep learning using an end-to-end random forest-based performance predictor,https://ieeexplore.ieee.org/abstract/document/8744404/,239,2019,Yes,No,Yes,Yes,They were compering to methods CNN and RF
3,random forest,metabolomics,Machine learning applications for mass spectrometry-based metabolomics,https://www.mdpi.com/2218-1989/10/6/243,209,2020,Yes,Yes,Yes,No,They compared several models
4,random forest,microbiology,Application of machine learning in microbiology,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2019.00827,173,2019,Yes,Yes,Yes,No,This is like a mixed between a review and an empirical paper
5,random forest,genomics,Predicting drug-target interactions using Lasso with random forest based on evolutionary information and chemical structure,https://www.sciencedirect.com/science/article/pii/S088875431830466X,165,2019,Yes,Yes,Yes,No,They go into details of how they used the methods; They compared several models
6,random forest,metabolomics,Random forest-based imputation outperforms other methods for imputing LC-MS metabolomics data: a comparative study,https://link.springer.com/article/10.1186/s12859-019-3110-0,163,2019,Yes,Yes,Yes,Yes,
7,random forest,immunology,Immune-based prediction of COVID-19 severity and chronicity decoded using machine learning,https://www.frontiersin.org/articles/10.3389/fimmu.2021.700782/full?fbclid=IwAR1zI_MzRT-GxVmPz39nBPv1hQ3uNFfGU33G3ZUokxYrXn8q07SfDstaCEI,161,2021,Yes,Yes,Yes,Yes,
8,random forest,evolution,Random forest solar power forecast based on classification optimization,https://www.sciencedirect.com/science/article/pii/S036054421931624X,129,2019,Yes,No,Yes,No,They go into details of how they used the methods
9,random forest,disease classification,Tomato leaf disease classification using multiple feature extraction techniques,https://link.springer.com/article/10.1007/s11277-020-07590-x,115,2020,Yes,Yes,Yes,Yes,They compared two models
10,random forest,biodiversity,Comparison of support vector machine and random forest algorithms for invasive and expansive species classification using airborne hyperspectral data,https://www.mdpi.com/2072-4292/12/3/516,114,2020,Yes,Yes,Yes,No,They compared two models
11,random forest,evolution,Multimodal data analysis of Alzheimer's disease based on clustering evolutionary random forest,https://ieeexplore.ieee.org/abstract/document/8993767/,105,2020,Yes,Yes,Yes,No,They go into details of how they used the methods
12,random forest,microbiology,Comparison between random forest and gradient boosting machine methods for predicting Listeria spp. prevalence in the environment of pastured poultry farms,https://www.sciencedirect.com/science/article/pii/S0963996919302133,101,2019,Yes,Yes,Yes,No,They compared two models
13,random forest,microbiology,Machine learning and applications in microbiology,https://academic.oup.com/femsre/article-abstract/45/5/fuab015/6174022,99,2021,Yes,Yes,Yes,No,They discussed they use of ML in microbiology
14,random forest,evolution,Intrusion detection system using PCA with random forest approach,https://ieeexplore.ieee.org/abstract/document/9155656/,97,2020,Yes,No,Yes,No,"They talked about the models in general, and it's not focused on biological research"
15,random forest,medical imaging,A random forest classifier-based approach in the detection of abnormalities in the retina,https://link.springer.com/article/10.1007/s11517-018-1878-0,87,2019,Yes,Yes,Yes,Yes,"They compared two models, but the application is really cool"
16,random forest,immunology,Deep exploration of random forest model boosts the interpretability of machine learning studies of complicated immune responses and lung burden of nanoparticles,https://www.science.org/doi/abs/10.1126/sciadv.abf4130,86,2021,Yes,Yes,Yes,Yes,"They compared two models, but the application is really cool"
17,random forest,evolution,Multi-objective differential evolution based random forest for e-health applications,https://www.worldscientific.com/doi/abs/10.1142/S0217984919500222,85,2019,,,,,
18,random forest,proteomics,Statistical analysis of proteomics data: a review on feature selection,https://www.sciencedirect.com/science/article/pii/S1874391918304263,82,2019,,,,,
19,random forest,phylogenomics,"i4mC-ROSE, a bioinformatics tool for the identification of DNA N4-methylcytosine sites in the Rosaceae genome",https://www.sciencedirect.com/science/article/pii/S0141813019385472,79,2020,,,,,
20,random forest,environmental biology,"Detection of oil pollution impacts on vegetation using multifrequency SAR, multispectral images with fuzzy forest and random forest methods",https://www.sciencedirect.com/science/article/pii/S0269749119316604,71,2020,,,,,
21,random forest,genomics,A random forest based biomarker discovery and power analysis framework for diagnostics research,https://link.springer.com/article/10.1186/s12920-020-00826-6,62,2020,,,,,
22,random forest,evolution,Feature selection and instance selection from clinical datasets using co-operative co-evolution and classification using random forest,https://www.tandfonline.com/doi/abs/10.1080/03772063.2020.1713917,59,2022,,,,,
23,random forest,phylogenetics,Multi-scale habitat modelling and predicting change in the distribution of tiger and leopard using random forest algorithm,https://www.nature.com/articles/s41598-020-68167-z,58,2020,,,,,
24,random forest,disease classification,Image classification of rice leaf diseases using random forest algorithm,https://ieeexplore.ieee.org/abstract/document/9425696/,57,2021,,,,,
25,random forest,environmental biology,"Fragmentation, forest structure, and topography modulate impacts of drought in a tropical forest landscape",https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecy.2677,50,2019,,,,,
26,random forest,disease classification,Machine learning algorithm for stroke disease classification,https://ieeexplore.ieee.org/abstract/document/9179307/,50,2020,,,,,
27,random forest,evolution,The importance of economic variables on London real estate market: A random forest approach,https://www.mdpi.com/2227-9091/8/4/112,49,2020,,,,,
