,Model,Bio_term,Title,Link,Citations,Year,Paper,Explicit use of the model,Model applied to biological research,Outcome and implications based on model,Keep ,Notes
1,support vector machine,disease classification,Support vector machine,https://www.sciencedirect.com/science/article/pii/B9780128157398000067,899,2020,No,Yes,Yes,Yes,No,Not a paper but a book chapter
2,support vector machine,disease classification,Deep feature based rice leaf disease identification using support vector machine,https://www.sciencedirect.com/science/article/pii/S0168169919326997,364,2020,Yes,Yes,Yes,Yes,No,Not just SVMs
3,support vector machine,conservation,Energy consumption prediction and diagnosis of public buildings based on support vector machine learning: A case study in China,https://www.sciencedirect.com/science/article/pii/S0959652620325890,154,2020,Yes,Yes,Yes,Yes,No,Potentially relevant but not biology relevant
4,support vector machine,neurobiology,Feature selection based on L1-norm support vector machine and effective recognition system for Parkinson's disease using voice recordings,https://ieeexplore.ieee.org/abstract/document/8672565/,148,2019,Yes,Yes,Yes,Yes,No,"Potentially relevant, more health science"
5,support vector machine,developmental biology,Severity detection for the coronavirus disease 2019 (COVID-19) patients using a machine learning model based on the blood and urine tests,https://www.frontiersin.org/articles/10.3389/fcell.2020.00683/full,135,2020,Yes,Yes,Yes,Yes,No,Potentially relevant but mostly on covid detection
6,support vector machine,biogeography,Binary biogeography-based optimization based SVM-RFE for feature selection,https://www.sciencedirect.com/science/article/pii/S1568494620309650,105,2021,Yes,No,Yes,Yes,No,They use a modefied version of SVMs
7,support vector machine,evolution,Detecting malware evolution using support vector machines,https://www.sciencedirect.com/science/article/pii/S0957417419307390,84,2020,Yes,Yes,Yes,Yes,No,Malware evolution...fun paper but not that much bio
8,support vector machine,phylogenomics,Expansion of RiPP biosynthetic space through integration of pan-genomics and machine learning uncovers a novel class of lanthipeptides,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001026,80,2020,Yes,Yes,Yes,Yes,No,More complex that just SVMs
9,support vector machine,biodiversity,Support vector machine in precision agriculture: a review,https://www.sciencedirect.com/science/article/pii/S0168169921005639,78,2021,No,No,No,No,No,Not a research paper
10,support vector machine,conservation,Wetland conversion risk assessment of East Kolkata Wetland: A Ramsar site using random forest and support vector machine model,https://www.sciencedirect.com/science/article/pii/S0959652620335204,77,2020,Yes,Yes,No,No,No,Not just SVMs
11,support vector machine,disease classification,Leaf disease detection using support vector machine,https://ieeexplore.ieee.org/abstract/document/9182128/,74,2020,Yes,Yes,Yes,Yes,Yes,Leaf disease and SVMs
12,support vector machine,evolution,Evolution of support vector machine and regression modeling in chemoinformatics and drug discovery,https://link.springer.com/article/10.1007/s10822-022-00442-9,73,2022,No,Yes,Yes,Yes,No,Not only SVMs and seem more a review
13,support vector machine,genomics,New machine learning applications to accelerate personalized medicine in breast cancer: rise of the support vector machines,https://www.liebertpub.com/doi/abs/10.1089/omi.2020.0001,69,2020,No,Yes,Yes,Yes,No,More an opinion piece
14,support vector machine,conservation,"Application of artificial neural networks, support vector machine and multiple model-ANN to sediment yield prediction",https://link.springer.com/article/10.1007/s11269-020-02672-8,64,2020,Yes,Yes,Yes,Yes,No,Not just SVMs
15,support vector machine,disease ecology,The future of zoonotic risk prediction,https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2020.0358,64,2021,No,No,No,No,No,Opinion piece
16,support vector machine,disease ecology,Research perspectives on animal health in the era of artificial intelligence,https://link.springer.com/article/10.1186/s13567-021-00902-4,60,2021,No,Yes,No,No,No,Research perspective
17,support vector machine,neurobiology,Cognitive slowing and its underlying neurobiology in temporal lobe epilepsy,https://www.sciencedirect.com/science/article/pii/S0010945219300905,54,2019,No,Yes,No,No,No,More a report than anything else
18,support vector machine,disease classification,A decision support system based on support vector machine for diagnosis of periodontal disease,https://link.springer.com/article/10.1186/s13104-020-05180-5,52,2020,Yes,Yes,No,No,No,Largely on health sciences
19,support vector machine,biogeography,"… selection for SAR image classification using biogeography-based optimization (BBO), artificial bee colony (ABC) and support vector machine (SVM): a combined …",https://link.springer.com/article/10.1007/s10596-020-10030-1,50,2021,Yes,Yes,Yes,Yes,No,Not just SVMs
20,support vector machine,conservation,Predicting Habitat Suitability and Conserving Juniperus spp. Habitat Using SVM and Maximum Entropy Machine Learning Techniques,https://www.mdpi.com/2073-4441/11/10/2049,43,2019,Yes,Yes,Yes,Yes,No,Not justt SVMs
