Model,Bio_term,Title,Link,Citations,Year
random forest,biodiversity,A random forest modelling procedure for a multi-sensor assessment of tree species diversity,https://www.mdpi.com/2072-4292/12/7/1210,34,2020
random forest,biodiversity,Earth observation and biodiversity big data for forest habitat types classification and mapping,https://www.mdpi.com/2072-4292/13/7/1231,29,2021
random forest,biodiversity,Comparing generalized linear models and random forest to model vascular plant species richness using LiDAR data in a natural forest in central Chile,https://www.sciencedirect.com/science/article/pii/S0034425715302169,162,2016
random forest,biodiversity,"Comparison of Random Forest Models, Support Vector Machine and Multivariate Linear Regression for Biodiversity Assessment in the Hyrcanian Forests",https://jes.ut.ac.ir/article_90223_en.html?lang=fa,NA,2023
random forest,biodiversity,Predicting vascular plant richness in a heterogeneous wetland using spectral and textural features and a random forest algorithm,https://ieeexplore.ieee.org/abstract/document/7438775/,25,2016
random forest,biodiversity,Assessing biotic and abiotic effects on biodiversity index using machine learning,https://www.mdpi.com/1999-4907/12/4/461,20,2021
random forest,biodiversity,Biodiversity mapping in a tropical West African forest with airborne hyperspectral data,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0097910,80,2014
random forest,biodiversity,Generalised Additive Models and Random Forest Approach as effective methods for predictive species density and functional species richness,https://link.springer.com/article/10.1007/s10651-020-00445-5,43,2020
random forest,biodiversity,Modeling species distribution and change using random forest,https://link.springer.com/chapter/10.1007/978-1-4419-7390-0_8,451,2010
random forest,biodiversity,Mapping natural forest remnants with multi-source and multi-temporal remote sensing data for more informed management of global biodiversity hotspots,https://www.mdpi.com/2072-4292/12/9/1429,14,2020
random forest,biodiversity,Developing an integrated remote sensing based biodiversity index for predicting animal species richness,https://www.mdpi.com/2072-4292/10/5/739,14,2018
random forest,biodiversity,Comparison of support vector machine and random forest algorithms for invasive and expansive species classification using airborne hyperspectral data,https://www.mdpi.com/2072-4292/12/3/516,114,2020
random forest,biodiversity,"Environmental drivers and spatial prediction of forest fires in the Western Ghats biodiversity hotspot, India: An ensemble machine learning approach",https://www.sciencedirect.com/science/article/pii/S0378112723002918,10,2023
random forest,biodiversity,The multispectral separability of Costa Rican rainforest types with support vector machines and Random Forest decision trees,https://www.tandfonline.com/doi/abs/10.1080/01431160903140803,107,2010
random forest,biodiversity,Efficacy of extracting indices from large‐scale acoustic recordings to monitor biodiversity,https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/cobi.13119,179,2018
random forest,biodiversity,"Using remote sensing and random forest to assess the conservation status of critical Cerrado habitats in Mato Grosso do Sul, Brazil",https://www.mdpi.com/2073-445X/5/2/12,51,2016
random forest,biodiversity,"Comparison of random forest, support vector machines, and neural networks for post-disaster forest species mapping of the krkonoše/karkonosze …",https://www.mdpi.com/2072-4292/13/13/2581,48,2021
random forest,biodiversity,Positive biodiversity-productivity relationship predominant in global forests,https://www.science.org/doi/abs/10.1126/science.aaf8957,1209,2016
random forest,biodiversity,Why choose Random Forest to predict rare species distribution with few samples in large undersampled areas? Three Asian crane species models provide …,https://peerj.com/articles/2849/,249,2017
random forest,biodiversity,"Assessing forest biodiversity: a novel index to consider ecosystem, species, and genetic diversity",https://www.mdpi.com/1999-4907/14/4/709,5,2023
gradient boosted trees,biodiversity,… Interpretability of Black-Box Machine Learning Models: Case Study on Biological Health of Streams in the United States with Gradient Boosted Trees,https://link.springer.com/article/10.1007/s13253-021-00479-7,16,2022
gradient boosted trees,biodiversity,Modeling Tick Populations: An Ecological Test Case for Gradient Boosted Trees,https://peercommunityjournal.org/item/10_24072_pcjournal_353/,NA,2023
gradient boosted trees,biodiversity,The explainability of gradient-boosted decision trees for digital elevation model (DEM) error prediction,https://isprs-archives.copernicus.org/articles/XLVIII-M-3-2023/161/2023/,1,2023
gradient boosted trees,biodiversity,Machine Learning Approaches for Forecasting the Best Microbial Strains to Alleviate Drought Impact in Agriculture,https://www.mdpi.com/2077-0472/13/8/1622,4,2023
gradient boosted trees,biodiversity,Satellite-Based Prediction of Fire Risk in Northern California Final Report,https://cs229.stanford.edu/proj2018/report/210.pdf,1,2018
gradient boosted trees,biodiversity,Agri-food policies and Sustainable Development Goals,https://bonndoc.ulb.uni-bonn.de/xmlui/handle/20.500.11811/10175,NA,2022
gradient boosted trees,biodiversity,Machine learning identifies ecological selectivity patterns across the end-Permian mass extinction,https://www.cambridge.org/core/journals/paleobiology/article/machine-learning-identifies-ecological-selectivity-patterns-across-the-endpermian-mass-extinction/3827AF46B77BF2BC8917437FB041DABA,15,2022
gradient boosted trees,biodiversity,Biomes of the world under climate change scenarios: increasing aridity and higher temperatures lead to significant shifts in natural vegetation,https://peerj.com/articles/15593/?fbclid=IwAR2cS-sec1ebdOpXWnjuw0hfcX_mecPuL1yXoetXBAFqGHnhsAeudgDL1KU&utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_0&utm_medium=TrendMD,6,2023
gradient boosted trees,biodiversity,Machine learning enhances prediction of plants as potential sources of antimalarials,https://www.frontiersin.org/articles/10.3389/fpls.2023.1173328/full,3,2023
gradient boosted trees,biodiversity,"Classification of Algerian olive oils: Physicochemical properties, polyphenols and fatty acid composition combined with machine learning models",https://www.sciencedirect.com/science/article/pii/S0889157523006865,1,2024
gradient boosted trees,biodiversity,Forest tree species distribution for Europe 2000–2020: mapping potential and realized distributions using spatiotemporal machine learning,https://peerj.com/articles/13728/,17,2022
gradient boosted trees,biodiversity,Africa's Malaria epidemic predictor: Application of machine learning on malaria incidence and climate data,https://dl.acm.org/doi/abs/10.1145/3388142.3388158,13,2020
gradient boosted trees,biodiversity,Using machine learning to make government spending greener,https://content.iospress.com/articles/statistical-journal-of-the-iaos/sji220039,1,2022
gradient boosted trees,biodiversity,"Gap filling cloudy Sentinel-2 NDVI and NDWI pixels with multi-frequency denoised C-band and L-band Synthetic Aperture Radar (SAR), texture, and shallow …",https://www.mdpi.com/2072-4292/14/17/4221,7,2022
gradient boosted trees,biodiversity,A 30 year topic analysis of Veterinary Medicine literature,https://ejournals.epublishing.ekt.gr/index.php/jhvms/article/view/29430,NA,2021
gradient boosted trees,biodiversity,How predictable are mass extinction events?,https://royalsocietypublishing.org/doi/abs/10.1098/rsos.221507,5,2023
gradient boosted trees,biodiversity,The Smart Soil Organism Detector: An instrument and machine learning pipeline for soil species identification,https://www.sciencedirect.com/science/article/pii/S0956566322004572,5,2023
gradient boosted trees,biodiversity,A spatiotemporal ensemble machine learning framework for generating land use/land cover time-series maps for Europe (2000–2019) based on LUCAS …,https://peerj.com/articles/13573/,14,2022
gradient boosted trees,biodiversity,Classification and prediction of river network ephemerality and its relevance for waterborne disease epidemiology,https://www.sciencedirect.com/science/article/pii/S0309170817306772,29,2017
gradient boosted trees,biodiversity,Machine learning in marine ecology: an overview of techniques and applications,https://academic.oup.com/icesjms/article-abstract/80/7/1829/7236451,12,2023
support vector machine,biodiversity,"Comparison of Random Forest Models, Support Vector Machine and Multivariate Linear Regression for Biodiversity Assessment in the Hyrcanian Forests",https://jes.ut.ac.ir/article_90223_en.html?lang=fa,NA,2023
support vector machine,biodiversity,ENHANCING ECOSYSTEM BIODIVERSITY THROUGH AIR POLLUTION CONCENTRATIONS PREDICTION USING SUPPORT VECTOR REGRESSION …,https://ijcs.ro/public/IJCS-23-107_Solehah.pdf,NA,2023
support vector machine,biodiversity,"Predicting bio-indicators of aquatic ecosystems using the support vector machine model in the Taizi River, China",https://www.mdpi.com/2071-1050/9/6/892,12,2017
support vector machine,biodiversity,Modelling ecological niches with support vector machines,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2664.2006.01141.x,372,2006
support vector machine,biodiversity,Support vector machines to map rare and endangered native plants in Pacific islands forests,https://www.sciencedirect.com/science/article/pii/S1574954112000210,98,2012
support vector machine,biodiversity,Assessing biotic and abiotic effects on biodiversity index using machine learning,https://www.mdpi.com/1999-4907/12/4/461,20,2021
support vector machine,biodiversity,Comparison of support vector machine and random forest algorithms for invasive and expansive species classification using airborne hyperspectral data,https://www.mdpi.com/2072-4292/12/3/516,114,2020
support vector machine,biodiversity,Mapping specific habitats from remotely sensed imagery: support vector machine and support vector data description based classification of coastal saltmarsh habitats,https://www.sciencedirect.com/science/article/pii/S157495410700026X,127,2007
support vector machine,biodiversity,Automated plant identification using artificial neural network and support vector machine,https://www.tandfonline.com/doi/abs/10.1080/21553769.2017.1412361,71,2017
support vector machine,biodiversity,"Comparison of random forest, support vector machines, and neural networks for post-disaster forest species mapping of the krkonoše/karkonosze …",https://www.mdpi.com/2072-4292/13/13/2581,48,2021
support vector machine,biodiversity,Predicting Habitat Suitability and Conserving Juniperus spp. Habitat Using SVM and Maximum Entropy Machine Learning Techniques,https://www.mdpi.com/2073-4441/11/10/2049,43,2019
support vector machine,biodiversity,Developing an integrated remote sensing based biodiversity index for predicting animal species richness,https://www.mdpi.com/2072-4292/10/5/739,14,2018
support vector machine,biodiversity,Invasive tree species detection in the Eastern Arc Mountains biodiversity hotspot using one class classification,https://www.sciencedirect.com/science/article/pii/S0034425718304292,56,2018
support vector machine,biodiversity,Object based classification of benthic habitat using Sentinel 2 imagery by applying with support vector machine and random forest algorithms in shallow waters of …,https://smujo.id/biodiv/article/view/10087,8,2022
support vector machine,biodiversity,Support vector machine in precision agriculture: a review,https://www.sciencedirect.com/science/article/pii/S0168169921005639,78,2021
support vector machine,biodiversity,Predicting the anthropogenic impacts on vegetation diversity of protected rangelands: an application of artificial intelligence,https://link.springer.com/article/10.1007/s10531-024-02783-3,NA,2024
support vector machine,biodiversity,Mapping savanna tree species at ecosystem scales using support vector machine classification and BRDF correction on airborne hyperspectral and LiDAR …,https://www.mdpi.com/2072-4292/4/11/3462,257,2012
support vector machine,biodiversity,Biodiversity estimation by environment drivers using machine/deep learning for ecological management,https://www.sciencedirect.com/science/article/pii/S1574954123003485,3,2023
support vector machine,biodiversity,Support vector machine to map oil palm in a heterogeneous environment,https://www.tandfonline.com/doi/abs/10.1080/01431161.2014.930201,69,2014
support vector machine,biodiversity,Predictive mapping of aquatic ecosystems by means of support vector machines and random forests,https://www.sciencedirect.com/science/article/pii/S0022169421000731,18,2021
gradient boosted trees,biogeography,StructuresNet and FireNet: Benchmarking databases and machine learning algorithms in structural and fire engineering domains,https://www.sciencedirect.com/science/article/pii/S2352710221008354,60,2021
gradient boosted trees,biogeography,"An engineer's guide to eXplainable Artificial Intelligence and Interpretable Machine Learning: Navigating causality, forced goodness, and the false perception of …",https://www.sciencedirect.com/science/article/pii/S0926580521002727,109,2021
gradient boosted trees,biogeography,Machine learning identifies ecological selectivity patterns across the end-Permian mass extinction,https://www.cambridge.org/core/journals/paleobiology/article/machine-learning-identifies-ecological-selectivity-patterns-across-the-endpermian-mass-extinction/3827AF46B77BF2BC8917437FB041DABA,15,2022
gradient boosted trees,biogeography,Biomes of the world under climate change scenarios: increasing aridity and higher temperatures lead to significant shifts in natural vegetation,https://peerj.com/articles/15593/?fbclid=IwAR2cS-sec1ebdOpXWnjuw0hfcX_mecPuL1yXoetXBAFqGHnhsAeudgDL1KU&utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_0&utm_medium=TrendMD,6,2023
gradient boosted trees,biogeography,Investigating random undersampling and feature selection on bioinformatics big data,https://ieeexplore.ieee.org/abstract/document/8848245/,44,2019
gradient boosted trees,biogeography,"Explainable machine learning using real, synthetic and augmented fire tests to predict fire resistance and spalling of RC columns",https://www.sciencedirect.com/science/article/pii/S0141029621018940,47,2022
gradient boosted trees,biogeography,Forest tree species distribution for Europe 2000–2020: mapping potential and realized distributions using spatiotemporal machine learning,https://peerj.com/articles/13728/,17,2022
gradient boosted trees,biogeography,"15-Machine learning, random forests, and boosted regression trees",https://books.google.com/books?hl=en&lr=&id=xt2gDwAAQBAJ&oi=fnd&pg=PA281&dq=%22gradient+boosted+trees%22+%22biogeography%22&ots=sGLHzH1HSz&sig=LaXEifVPgqeOHGerEt2b28vJNeM,18,2019
gradient boosted trees,biogeography,Does land-use affect bird abundance?,https://unbscholar.lib.unb.ca/bitstreams/bbc1f886-85f6-434a-8736-000d337821a9/download,NA,2019
gradient boosted trees,biogeography,The Smart Soil Organism Detector: An instrument and machine learning pipeline for soil species identification,https://www.sciencedirect.com/science/article/pii/S0956566322004572,5,2023
gradient boosted trees,biogeography,"Exploring long-term performance variety trials to improve genotype, management, and environment recommendations: A case study for winter wheat",https://repositorio.unesp.br/bitstream/handle/11449/191584/munaro_lb_me_jabo.pdf?sequence=3,NA,2019
