"Model","Bio_term","Title","Link","Citations","Year"
"OLS","genomics","Monte Carlo simulation of OLS and linear mixed model inference of phenotypic effects on gene expression","https://peerj.com/articles/2575/",3,2016
"OLS","genomics","Empirical Bayes estimation of gene-specific effects in micro-array research","https://link.springer.com/article/10.1007/s10142-004-0123-0",12,2005
"OLS","genomics","Gene network inference via structural equation modeling in genetical genomics experiments","https://academic.oup.com/genetics/article-abstract/178/3/1763/6061470",156,2008
"OLS","genomics","L2-Boosting algorithm applied to high-dimensional problems in genomic selection","https://www.cambridge.org/core/journals/genetics-research/article/l2boosting-algorithm-applied-to-highdimensional-problems-in-genomic-selection/82AC264C061ED70D187A215C7754B973",38,2010
"OLS","genomics","Robust ridge regression for estimating the effects of correlated gene expressions on phenotypic traits","https://link.springer.com/article/10.1007/s10651-019-00434-3",8,2020
"OLS","genomics","The ontology lookup service: bigger and better","https://academic.oup.com/nar/article-abstract/38/suppl_2/W155/1101833",137,2010
"OLS","genomics","Correlation between bacterial G+ C content, genome size and the G+ C content of associated plasmids and bacteriophages","https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.000168",125,2018
"OLS","genomics","Comparison of whole-genome prediction models for traits with contrasting genetic architecture in a diversity panel of maize inbred lines","https://link.springer.com/article/10.1186/1471-2164-13-452",112,2012
"OLS","genomics","The Opposing Effect of Hedonic and Eudaimonic Happiness on Gene Expression is Correlated Noise","https://www.biorxiv.org/content/10.1101/044917.abstract",1,2016
"OLS","genomics","FW: an R package for Finlay–Wilkinson regression that incorporates genomic/pedigree information and covariance structures between environments","https://academic.oup.com/g3journal/article-abstract/6/3/589/6031117",59,2016
"OLS","genomics","Nuclear Chromosome Dynamics in the Drosophila Male Germ Line Contribute to the Nonrandom Genomic Distribution of Retrogenes","https://academic.oup.com/mbe/article-abstract/29/9/2105/1078236",16,2012
"OLS","genomics","Empirical performance of cross-validation with oracle methods in a genomics context","https://www.tandfonline.com/doi/abs/10.1198/tas.2011.11052",25,2011
"OLS","genomics","Annotation regression for genome-wide association studies with an application to psychiatric genomic consortium data","https://link.springer.com/article/10.1007/s12561-016-9154-z",4,2017
"OLS","genomics","Resource allocation for maximizing prediction accuracy and genetic gain of genomic selection in plant breeding: a simulation experiment","https://academic.oup.com/g3journal/article-abstract/3/3/481/6025701",171,2013
"OLS","genomics","Mind genomics and the law","https://www.researchgate.net/profile/Petraq-Papajorgji-2/publication/350042894_Mind_Genomics_and_the_Law_Chapter_1_What_is_Mind_Genomics/links/604d0afea6fdcccfee7d033f/Mind-Genomics-and-the-Law-Chapter-1-What-is-Mind-Genomics.pdf",21,2020
"OLS","genomics","The impact of personal genomics on risk perceptions and medical decision-making","https://www.nature.com/articles/nbt.3661",32,2016
"OLS","genomics","Did genetic drift drive increases in genome complexity?","https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1001080",131,2010
